START
,Fresh fruit (A-N),,
,Okra,y,60  g,x,-,-,-,
,"Peas, snow",y,17  g,x,-,x,-,
,Süßkartoffel,y,70  g,-,-,x,-,
,"Kürbis, butternut",y,30  g,x,-,x,-,
,Rutabagas,y,65  g,-,-,x,-,
,Spinat baby,y,38  g,x,-,-,-,
,"Squash, spaghetti, cooked",y,155  g,x,-,-,-,
,Taro,y,82  g,x,-,-,-,
,Tomate Kirschtomaten,y,68  g,x,-,-,-,
,Tomate roma,y,46  g,x,-,-,-,
,Fresh Vegetables (U-Z),,
,Witlof,g,Free use,-,-,-,-,
,Water chestnuts,y,55  g,x,-,-,-,
,Yam,y,164  g,x,-,-,-,
,Yucca root,y,69  g,x,-,-,-,
,Zucchini,y,66  g,x,-,-,-,
,Processed Vegetables,,
,"Bamboo shoots, canned",g,Free use,-,-,-,-,
,"Callaloo, tinned in brine",g,Free use,-,-,-,-,
,Edamame / frozen soybeans,g,Free use,-,-,-,-,
,"Gherkins, in vinegar",g,Free use,-,-,-,-,
,"Olives, black, pitted",g,Free use,-,-,-,-,
,"Olives, green, pitted",g,Free use,-,-,-,-,
,Potato dumplings,g,Free use,-,-,-,-,
,Seaweed / nori,g,Free use,-,-,-,-,
,"Onions, pickled",r,0  g,-,x,-,-,
,"Mushroom, champignons, canned",y,110  g,-,-,x,-,
,"Mushroom, Shiitake, dried",y,7  g,-,-,x,-,
,"Pumpkin, canned",y,60  g,x,-,-,-,
,"Red cabbage, fermented",y,70  g,x,-,-,-,
,"Tomato, canned",y,92  g,-,x,-,-,
,"Tomato, sun-dried, semi",y,8  g,-,x,-,-,
,"White cabbage, Sauerkraut / fermented",y,20  g,-,-,x,-,
,Tea,,
,"Tea, black, weak",g,Free use,-,-,-,-,
,"Tea, buchu, strong",g,Free use,-,-,-,-,
,"Tea, buchu, weak",g,Free use,-,-,-,-,
,"Tea, chai, weak",g,Free use,-,-,-,-,
,"Tea, dandelion, weak",g,Free use,-,-,-,-,
,"Tea, green, strong",g,Free use,-,-,-,-,
,"Tea, honeybush, strong",g,Free use,-,-,-,-,
,"Tea, honeybush, weak",g,Free use,-,-,-,-,
,"Tea, peppermint, strong",g,Free use,-,-,-,-,
,"Tea, peppermint, weak",g,Free use,-,-,-,-,
,"Tea, rooibos, strong",g,Free use,-,-,-,-,
,"Tea, rooibos, weak",g,Free use,-,-,-,-,
,"Tea, white, strong",g,Free use,-,-,-,-,
,"Tea, chai, strong",r,0  g,x,-,-,-,
,"Tea, Kamille, stark",r,0  g,x,-,-,-,
,Tee Kamille schwach,r,0  g,x,-,-,-,
,"Tea, dandelion, strong",r,0  g,x,-,-,-,
,Tee Fenchel stark,r,0  g,x,-,-,-,
,Tee Fenchel schwach,r,0  g,x,-,-,-,
,"Tea, herbal, strong",r,0  g,x,-,-,-,
,"Tea, oolong, strong",r,0  g,x,-,-,-,
,"Tea, oolong, weak",r,0  g,x,-,-,-,
,"Tea, black, strong",y,180  g,x,-,-,-,
,"Tea, herbal, weak",y,180  g,x,-,-,-,
,Alcohol,,
,Bier,g,Free use,-,-,-,-,
,Gin,g,Free use,-,-,-,-,
,Vodka,g,Free use,-,-,-,-,
,Whiskey,g,Free use,-,-,-,-,
,"Wine, red",g,Free use,-,-,-,-,
,"Wine, sparkling",g,Free use,-,-,-,-,
,"Wine, sweet",g,Free use,-,-,-,-,
,"Wine, white",g,Free use,-,-,-,-,
,"Wine, white, dry",g,Free use,-,-,-,-,
,Rum,r,0  g,-,x,-,-,
,"Wine, low glycaemic index",r,0  g,-,x,-,-,
,"Wine, sticky",r,0  g,-,x,-,-,
,Coffee,,
,"Espresso, decaffeinated",g,Free use,-,-,-,-,
,"Espresso, regular",g,Free use,-,-,-,-,
,"Instant, decaffeinated",g,Free use,-,-,-,-,
,"Instant, regular",g,Free use,-,-,-,-,
,"Instant, white, Malaysia",g,Free use,-,-,-,-,
,Drink Powders,,
,Kakaopulver,g,Free use,-,-,-,-,
,Carobpulver,y,6  g,x,-,-,-,
,Cocoa powder,y,8  g,x,-,-,-,
,Creamer powder,g,Free use,-,-,-,-,
,"Protein supplement, plant-based",g,Free use,-,-,-,-,
,Cordial,,
,"Apple & Raspberry, 50-100% real juice",r,0  g,-,x,-,-,
,"Orange, 25-50% real juice",r,0  g,-,x,-,-,
,Juices,,
,Cranberry juice,g,Free use,-,-,-,-,
,"Apple, 99% real juice, reconstituted",r,0  g,-,x,x,-,
,"Apple, 99% real juice, reconstituted, fresh",r,0  g,-,x,x,-,
,"Orange, 98% real juice, reconstituted",r,0  g,-,x,-,-,
,"Coconut water, fresh",y,100  g,x,-,x,-,
,"Coconut water, packaged",y,100  g,x,-,x,-,
,"Orange, 99% real juice, reconstituted, fresh",y,10  g,-,x,-,-,
,Cereals,,
,"Flakes, corn (gluten free)",g,Free use,-,-,-,-,
,"Flakes, quinoa",g,Free use,-,-,-,-,
,"Flakes, rice, poha",g,Free use,-,-,-,-,
,"Hafermehl, coarse, organic, Danish",g,Free use,-,-,-,-,
,"Oatmeal, coarse, organic, Danish (gluten free)",g,Free use,-,-,-,-,
,"Cereal, rice crisps",r,0  g,x,-,-,-,
,"Flakes, barley",r,0  g,x,-,-,-,
,"Flakes, rice, psyllium (gluten free)",r,0  g,x,x,-,-,
,"Flakes, spelt",r,0  g,x,-,-,-,
,"Flakes, spelt, organic",r,0  g,x,x,-,-,
,"Muesli (gluten-, wheat, dairy-, nut- free)",r,0  g,x,-,x,-,
,"Muesli (yeast-, wheat- free)",r,0  g,x,x,-,-,
,"Muesli, plain",r,0  g,x,-,-,-,
,"Wheat bran, pellets",r,0  g,x,x,-,-,
,"Amaranth, puffed grain",y,10  g,x,-,-,-,
,"Flakes, corn",y,15  g,x,-,-,-,
,"Oatmeal, fine, organic, Danish",y,52  g,x,-,-,-,
,"Oatmeal, fine, organic, Danish (gluten free)",y,52  g,x,-,-,-,
,Oats,y,60  g,x,-,-,-,
,"Oats, quick, dry",y,23  g,x,-,-,-,
,"Oats, rolled",y,52  g,x,-,-,-,
,Reis gepufft,y,15  g,x,-,-,-,
,Grains,,
,"Buckwheat, groats",g,Free use,-,-,-,-,
,"Millet, hulled",g,Free use,-,-,-,-,
,Polenta / corn meal,g,Free use,-,-,-,-,
,"Quinoa, black",g,Free use,-,-,-,-,
,"Quinoa, red",g,Free use,-,-,-,-,
,"Quinoa, white",g,Free use,-,-,-,-,
,"Reis, Basmati",g,Free use,-,-,-,-,
,Reis Natur,g,Free use,-,-,-,-,
,Reis weiß,g,Free use,-,-,-,-,
,"Barley, pearl",r,0  g,x,-,-,-,
,"Spelt, kernels, green",r,0  g,x,-,-,-,
,Bourghal,y,44  g,x,-,-,-,
,"Bran, oat, unprocessed",y,22  g,x,-,-,-,
,"Bran, rice, unprocessed",y,16  g,x,-,-,-,
,"Bran, wheat, processed",y,5  g,x,-,-,-,
,"Bran, wheat, unprocessed",y,5  g,x,-,-,-,
,"Buckwheat, kernels",y,27  g,x,-,-,-,
,"Cous cous, rice and corn",y,37  g,x,-,-,-,
,"Millet, kernels",y,125  g,x,-,-,-,
,"Oat, flakes",y,50  g,x,-,-,-,
,Flours,,
,"Flour, buckwheat",g,Free use,-,-,-,-,
